,Title,Link,Authors,Venue,Year,Study Period (per user),Study Period (per user) - DAYS,# Sessions (per user),# Sessions (per user) - INTEGER,Session Length (per session),Session Length (per session) - MINUTES,"Total average est. Minutes per person. INTEGER. If range, take midpoint to estimate.",# Participants (with full data),# Participants (with full data) - INTEGER,HRI Type (detailed),HRI Type,Domain (detailed),Domain,Subdomain,Robot Used,Primary Robot Feature(s),Country,Location (detailed),Location,Age (detailed),Age group (detailed),Age group,Qualitative Data (Y/N),"Quantitative (separable conditions, Y/N)","Quantitative (by user type, Y/N)",Data Collection for Machine Learning (Y/N),Statistical Significances Found (detailed),Statistical Significances Found (Y/N),Conditions (detailed),Conditions (Y/N),Behavioral Variation (detailed),Behavioral Variation (Y/N),Adaptation + Personalization (detailed),Adaptation + Personalization (Y/N),User modeling by robot (detailed),User modeling by robot (Y/N),WoZ / Autonomous / Hybrid (detailed),WoZ / Autonomous / Hybrid,Main results,Measure Engag.? (with robot) - detailed,"Measure Engag.? (with robot, Y/N)",Engagement Measures + Results (detailed),Engagement Measures Type,Novelty Effect measures or mentioned? (Y/N),Novelty Comments/Methods,Incentivization (detailed),Comments
KM,Toward Personalized Affect-Aware Socially Assistive Robot Tutors for Long-Term Interventions with Children with Autism,https://doi.org/10.1145/3526111;http://dx.doi.org/10.1145/3526111,"Shi Z,Groechel TR,Jain S,Chima K,Rudovic Ooggi,Matarić MJ",THRI,2022,1 month,30,4.75,5,,25,124,"Due to the challenges of our month-long in-home data collections and the limitations of human annotation, four participants with sufficient and qualified data were selected to train and evaluate the personalized cognitive-affective models proposed in this study.",4,Diadic,Diadic,Autism with kids in home,ASD,Turoting with ASD,Kiwi,"child participant with ASD interacted with a SAR tutor over many sessions by playing educational math games on a tablet,",USA,Home,Home,"4.58 ±
 0.23",Children,Children (3-12),N,N,N,Y,N/A,N,N/A,N,Yes,Y,Yes,Y,yes,Y,Autonomous,Autonomous,"Personalized models achieved 2% and 11% improvements in F1 score for negative valence over individualized and generic models, and also achieved 5% improvements in F1 score for negative arousal over both the baseline models.",y,Y,y,,n,,unknown,one of multiple papers from this study
KM,Mental Models of a Mobile Shoe Rack: Exploratory Findings from a Long-Term In-the-Wild Study,https://doi.org/10.1145/3442620;http://dx.doi.org/10.1145/3442620,"Rueben M,Klow J,Duer M,Zimmerman E,Piacentini J,Browning M,Bernieri FJ,Grimm CM,Smart WD",THRI,2021,6 weeks,42,6,5,short interactin of placing shoes down,2,10,6,6,diadic but in group setting,Mixed,"yoga class, general helper hri maybe service",Service/Workplace,Service robotics,custom,storing people’s shoes during a yoga class.,USA,Yoga studio,Other,20s - 70s,"generally adults, but include adults and elderly",Mixed,Y,N,N,N,N,N,N,N,Sort of -- feature conditions changed every 2 weeks to see what happens exploratively,Y,No,N,No,N,WOZ teleop over internet,WoZ,"These findings are organized into six topics: (1) variability in the rate at which mental models are updated to be more predictive, (2) types of reasoning and hypothesizing about the robot, (3) borrowing from existing mental models and use of imagination, (4) attributing sensing capabilities where there are no visible sensors, (5) judgments about whether the robot is autonomous or teleoperated, and (6) experimenting with the robot.",N,N,None,None,N,,interviewees were compensated $10 per interview.,
KM,Robot-Delivered Cognitive Stimulation Games for Older Adults: Usability and Acceptability Evaluation,https://doi.org/10.1145/3451882;http://dx.doi.org/10.1145/3451882,"Gasteiger N,Ahn HS,Gasteiger C,Lee C,Lim J,Fok C,Macdonald BA,Kim GH,Broadbent E",THRI,2021,12 weeks,84,15,15,up to 1 hr,45,675,"40 total, but 1/2 in control; only 10 with the interviews from New Zealand crowd!",10,Diadic,Diadic,gameplay for cognitive stabilization and improvement againt cognitive declines with age,Mental/Cognitive Health,Cognitive Games,Bomy,"All six games were used, including three with the blocks.",New Zealand,individual homes in retirement village,Care Home,"Unclear, just ""older adults""",note: these were helathy cognitive people!!,Elderly (above 65),Y,N,N,N,Not analyzed yet,N,Control -- no robot; but this paper doesn't show results between conditions,N,"Multiple games, so yes, and user can choose to vary difficulty",Y,No,N,No,N,Autonomous,Autonomous,"The final robot and games were accept- able to older adults, and useful for delivering stimulating activities and providing reminders for medication, health and wellbeing checks. Personalization is required to optimize human-robot interaction, and imagery and speech should be consistent with local users.",N,N,None,None,N,,Unknown,
KM,"Older adults’ experiences and perceptions of living with Bomy, an assistive dailycare robot: A qualitative study.",https://www.tandfonline.com/doi/abs/10.1080/10400435.2021.1877210,"N. Gasteiger, H. Ahn, C. Fok, J. Lim, C. Lee, B. MacDonald, G. Kim, and E. Broadbent.",Journal of Assistive Technology (JAT),2021,1 week,6,free use,free use,"free use, n/a",free use,unknown,,6,Diadic,Diadic,age-related health,Mental/Cognitive Health,Cognitive Games and daily activity reminders ,Bomy,"The robot featured the six games from Phase 4 and nine per- sonalizable reminders, including waking up, going to bed, medications, playing robot games, going out, and visits.",New Zealand,individual homes in retirement village,Care Home,72 to 83 (M = 78),older adults,Elderly (above 65),Y,N,N,N,"N, only interview themes reported",N,n/a,N,Could choose from multiple games,Y,No,N,No,N,Autonomous,Autonomous,"Findings revealed an acceptance toward robots and the value of assistive dailycare robots. Participants perceived Bomy as a companion and made suggestions for improvement, including resolving technical issues associated with long-term use.",,Y,just when dropped from free use,Drop Out Rate (from sessions or free use),N,,NZ 20 USD,
KM,Results of Field Trials with a Mobile Service Robot for Older Adults in 16 Private Households,https://doi.org/10.1145/3368554;http://dx.doi.org/10.1145/3368554,"Bajones M,Fischinger D,Weiss A,Puente P,Wolf D,Vincze M,Körtner T,Weninger M,Papoutsakis K,Michel D,Qammaz A,Panteleris P,Foukarakis M,Adami I,Ioannidi D,Leonidis A,Antona M,Argyros A,Mayer P,Panek P,Eftring H,Frennert S",THRI,2019,3 weeks,21,"free use, varies",free use,"free use, n/a",free use,unknown,16,16,Diadic,Diadic,senior living assistance,Living Assistance,Living Assistance,Hobbit PT2,"patroling, emergency alerts, fetching objects, safety checks, picking up objects, reminders, fitness","Austria, Greece, Sweden",Home,Home,75 - 89 avg 79.95,seniors,Elderly (above 65),Y,Y,Y,N,"yes in the measures over time, not in the conditions",Y,device-like vs companion-like in social interactions,Y,"sort of, multiple interaction types and up to users' control.",Y,No,N,No,N,Autonomous,Autonomous,"The results of our field trial showed that all users interacted with Hobbit daily, rated most functions as well working, and reported that they believed Hobbit will be part of future elderly care. However, the results also highlighted several technical/ practical issues, some which can be easily fixed (e.g., having a screen saver, bigger tray) and some that will need substantial improvements in, e.g., navigation, grasping, and behavior coordination.",N,N,N,None,Y,,Unknown,this paper has a lot of commentary on long-term depoyments that could serve as inspiration
KM,The Effect of Personalization in Longer-Term Robot Tutoring,https://doi.org/10.1145/3283453;http://dx.doi.org/10.1145/3283453,"Leyzberg D,Ramachandran A,Scassellati B",THRI,2018,unknown,14,,5,,20,100,,19,Diadic,Diadic,tutoring english language,Education,ESL,Keepon,english teaching,USA ,School,School,1st grade,1st grade,Children (3-12),N,Y,N,N,personalization means more learning gains,Y,personalized vs. non-personalized,Y,new content over time,Y,personalized by: ,Y,used a HMM of learning based on performance and other inputs,Y,"""The second role of the experimenter was to provide natural language processing. """,Hybrid,our personalization system correctly identified which skills each participant needed more practice with and that the personalized lessons each participant received caused a sharp increase in learning gains over time.,"motivation for personalization is engagement, but not measured directly",Y,Other work investigating on multiple-session robot interactions with children found that multi-activity switching can be used to maintain engagement over multiple interactions [11]. Our work highlights the idea that simple content personalization over multiple tutoring sessions may help keep children engaged by providing them with exercises of the right level of challenge.,Interest/Attention Tracking,N,,,
KM,A Socially Assistive Robot Exercise Coach for the Elderly,https://doi.org/10.5898/JHRI.2.2.Fasola;http://dx.doi.org/10.5898/JHRI.2.2.Fasola,"Fasola J,Matarić MJ",THRI,2013,2 weeks,14,4,4,20,20,80,33,33,Diadic,Diadic,Elderly exercise,Physical Health,Seniors and exercise,Bandit,"four game behaviors (workout, sequence, imitation, memory) with feedback based on user performance from acitivty recognition and pose",,,Lab,68-88 avg 76,seniors,Elderly (above 65),N,Y,Y,N,Y,Y,yes - virtual and robotic coaching,Y,sort of -- game order varies based on a preset schedule to avoid boredom; variability in verbal feedback to users,Y,"sort of -- remembers previous sessions/interactions, remembers names",N,yes - using pose models to determine user performance,Y,Autonomous,Autonomous," The results of the study validate our system approach and its effectiveness in motivating physical exercise in older adults; the participants engaged in physical exercise with high performance consistently throughout the interaction sessions, rated the SAR system highly in terms of enjoyableness and usefulness of the interaction, and rated the robot coach highly in terms of helpfulness, social attraction, social presence, and companionship.",sort of -- through performance metrics on compliance and speed of task completion over time,Y,people got better at the games over time and had high compliace,,N,,$50 gift card,
NS,Multi-Purposeful Activities for Robot-Assisted Autism Therapy: What Works Best for Children’s Social Outcomes?,https://dl.acm.org/doi/10.1145/3568162.3576963,Aida Zhanatkyzy Zhansaule Telisheva Aida Amirova Nazerke Rakhymbayeva Anara Sandygulova,HRI,2023,3 weeks,21,"average 6, up to 10",6,,15,90,,34,Triadic,Triadic,ASD,ASD,Varying social skills and games,NAO,"24 different activities (including dances, songs, storytelling and others)",Kazakhstan,National Childrens Rehabilitation Center,Rehabilitation Facility,3-12,,Children (3-12),N,Y,Y,N,Y,Y,"within (age, adhd, ados)",Y,therapists chose activities,N,therapists chose activities,N,no,N,WOZ,WoZ,"Overall, the activities on varying social mediation levels brought more or less positive social outcomes to all children. However, children showed some diferent behavioral outcomes as mediated by core autism-related and age-specifc characteristics.",Y,Y,"Engagement differences were foud between: verbal/non-verbal, asd+adhd/just asd, ",,N,,,
NS,Robotic Mental Well-being Coaches for the Workplace: An In-the-Wild Study on Form,https://dl.acm.org/doi/10.1145/3568162.3577003,Micol Spitale Minja Axelsson Hatice Gunes,HRI,2023,4 weeks,28,4,4,,10,40,,26,Diadic,Diadic,Mental health,Mental/Cognitive Health,mental well-being,Misty and QT,scripted positive psychology exercises,UK,Cambridge Consultants Inc. headquarters,Office,18-55,,Adults (18+),Y,Y,Y,N,Y,Y,qt vs misty robot,Y,no,N,no,N,no,N,Autonomous / pre-scripted,Autonomous,"Our results show that the robot form signifcantly impacts coachees’ perceptions of the robotic coach in the workplace. Coachees perceived the robotic coach in M more positively than in QT (both in terms of behaviour appropriateness and perceived personality), and they felt more connection with the robotic coach in M.",N,N,"We evaluated the designs with a three-session experimental user study (� = 130, 8-11 y.o.). Participants got better at math over time when the robot scafolded instructions. Furthermore, the robot felt more as a friend when it personalized the conversation.",None,,,,
NS,Design Specifications for a Social Robot Math Tutor,https://dl.acm.org/doi/10.1145/3568162.3576957,Mike E.U. Ligthart Simone M. de Droog Marianne Bossema Lamia Elloumi Kees Hoogland Matthijs H.J. Smakman Koen V. Hindriks Somaya Ben Allouch,HRI,2023,unknown,,,3,,15,45,,130,Diadic,Diadic,Education,Education,math,NAO,,Netherlands,,School,8-11,,Children (3-12),N,Y,Y,N,,Y,personalization vs non-personalized,,,Y,yes - difficulty,Y,yes,Y,autonomous,Autonomous,"Participants got better at math over time when the robot scafolded instructions. Furthermore, the robot felt more as a friend when it personalized the conversation.",,N,,None,,,,
NS,Robocamp at Home: Exploring Families’ Co-Learning with a Social Robot: Findings from a One-Month Study in the Wild,https://dl.acm.org/doi/10.1145/3568162.3576976,Aino Ahtinen Nasim Beheshtian Kaisa Väänänen,HRI,2023,4 weeks,28,,unknown,,unknown,unknown,,32,Family,Family,Education,Education,co-learning about social robots,Alpha Mini,,Finland,,Home,6-15,,Children (3-12),Y,N,N,N,,N,N/A,N,,Y,,N,,N,,,,,,,,,,,
NS,A Social Robot Reading Partner for Explorative Guidance,https://dl.acm.org/doi/10.1145/3568162.3576968,Xiajie Zhang Cynthia Breazeal Hae Won Park,HRI,2023,2-4 weeks,21,,8,,12,96,,31,Diadic,Diadic,Education,Education,reading,Jibo,,USA,,Home,4-6,,Children (3-12),N,Y,Y,N,,Y,explorative robot vs control,Y,,Y,,Y,,Y,autonomous,Autonomous,"the result shows that children who receive explorative guidance from the social robot exhibit a growing trend of self-exploration. Further, children’s self-exploration in the explorative guidance condition is found correlated to their learning outcome.",,Y,"For the child’s engagement, we measured it with a camera video feed and afect detection software–Afectiva",,,,,
NS,“Off Script:” Design Opportunities Emerging from Long-Term Social Robot Interactions In-the-Wild,https://dl.acm.org/doi/10.1145/3568162.3576978,Joseph E. Michaelis Bengisu Cagiltay Rabia Ibtasar Bilge Mutlu,HRI,2023,4 weeks,28,,27,,17,459,,6,Diadic. / family,Family,Education,Education,reading,Misty,,USA,,Home,10-12,,Children (3-12),Y,N,N,N,,N,none,N,,Y,,N,,N,autonomous,Autonomous,"Throughout these interactions, we observed how the robot’s expressions facilitated unique interactions with the child, as well as how family members interacted with the robot. In conclusion, we discuss fve design opportunities derived from our analysis of natural interactions in the wild.",,N,,,,,,
NS,A Robotic Companion for Psychological Well-being: A Long-term Investigation of Companionship and Therapeutic Alliance,https://dl.acm.org/doi/10.1145/3568162.3578625,Sooyeon Jeong Laura Aymerich-Franch Sharifa Alghowinem Rosalind W. Picard Cynthia L. Breazeal Hae Won Park,HRI,2023,4 weeks,28,,12,,7,84,,70,Diadic,Diadic,,Mental/Cognitive Health,psychological well-being,Jibo,,USA,,Home,18-83,,Adults (18+),Y,Y,Y,N,,Y,"(1) control condition, (2) coach-like condition, and (3) companionlike condition",Y,,Y,,N,,N,autonomous,Autonomous,"The companion-like robot was shown to be the most efective in building a positive therapeutic alliance with people, enhancing participants’ well-being and readiness for change.",,N,,,,,,
RR,Designing Robots in the Wild: In Situ Prototype Evaluation for a Break Management Robot,https://dl.acm.org/doi/pdf/10.5898/JHRI.3.1.Sabanovic,"Šabanović, S., Reeder, S. M., & Kechavarzi, B.",THRI,2014,4 weeks,28,daily use,daily use,daily use,daily use,daily use,6,6,Diadic,Diadic,Health & Wellness,Mental/Cognitive Health,Break-management tool for office use,custom,"A desk robot that alerts users of when to take a break; two prototypes presented: (1) a social robot that requests that the use takes a break, and (2) an alaram robot with no social interaction",USA,Office,Office,18+,Adults,Adults (18+),Y,Y,N,N,yes,Y,by robot type; compared between the effects of a social robot or an alarm robot,Y,no,N,no,N,no,N,autonomous,Autonomous,"Evaluated various prototypes of robot designs to identify emerging factors that impact robot use; performs a case study using the Dewey robot (novel prototype) as a break management technqiue in an office setting (doesn't meet out critieria of a repeated-session with each user). Participants completed surveys to guage how willing users might be to carry a robot with them throughout the day, the true HRI was theoretical. The 4th iteration of the prototype was evaluated by a long-term study -- 4 consecutive weeks (established a baseline behavior in participants in the first week; novelty not accounted for) and relied on self-reports to evaluate the HRI. The final study explored how social interactivity and factors of robot design influenced user perceptions of the robots and break-taking behavior. 2 conditions (an alarm robot v a social robot), N = 9 users (6 users with data) total, assuming participants were all adults (demographic information isn't reported)",yes,Y,"yes; surveys, behavioral tracking (post-hoc), interviews (post-hoc)",,N,,not mentioned,Did not account for the effect of novelty; used the first week of the interaction as a baseline
RR,Adapting a General-Purpose Social Robot for Paediatric Rehabilitation through In Situ Design,https://dl.acm.org/doi/pdf/10.1145/3203304,"Martí Carrillo, Felip, Joanna Butchart, Sarah Knight, Adam Scheinberg, Lisa Wise, Leon Sterling, and Chris McCarthy",THRI,2018,unknown,14,14,14,30 minutes,30,420,9,9,Diadic,Diadic,Health & Wellness,Physical Health,Exercise robot that engages with kids with cerebral palsy,NAO,Nao presented 13 different exercises and positive affirmations to encourage children to perform the exercises with the robot,Australia,Care Facility / PT,Hospital,3-10,Children,Children (3-12),Y,N,N,N,yes,Y,no; but compared the impact of improvements to the prototype during its second iteration,N,yes,Y,no,N,no,N,autonomous,Autonomous,"Data collected from 9 patients (3-10 yo), 5 therapists over the course of 14 sessions to explore a NAO-assisted rehabilitation program for children with cerebral palsy. Two phases of the robot design is presented: 1 - a prototype that is an WoZ operated interaction + patient monitoring based on experimenter's perspective versus 2 - an autonomous prototype with behavioral variation that is randomly selected + positive affirmations to the children users + with no patient progress monitored during the interaction.  Sections were 30 minutes each, 14 sessions, conducted on the second iteration of the prototype. Study conducted over 23 months. ",yes,Y,yes; surveys for kids + psychotherapist feedback on the interactions,,N,,not mentioned,"first iteration of the prototype was WoZ-operated, the second iteration (with data reported more cleanly, aka the main study) was autonomous"
